filename,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,策略评分
000581.SZ_威孚高科.csv,12,2.83%,75.00%,19.53%,-7.73%,1.169,0.877
000582.SZ_北部湾港.csv,3,-2.98%,33.33%,1.20%,-6.05%,0.237,0.079
000586.SZ_汇源通信.csv,10,7.72%,50.00%,30.52%,-5.44%,5.922,2.961
000589.SZ_贵州轮胎.csv,4,-2.25%,25.00%,1.23%,-5.79%,0.36,0.09
000590.SZ_启迪药业.csv,5,-3.21%,40.00%,1.66%,-13.46%,0.234,0.094
000591.SZ_太阳能.csv,4,1.44%,50.00%,12.86%,-5.59%,1.556,0.778
000592.SZ_平潭发展.csv,7,-1.53%,42.86%,7.56%,-12.10%,0.699,0.299
000593.SZ_德龙汇能.csv,11,4.45%,63.64%,26.75%,-11.48%,1.47,0.936
000596.SZ_古井贡酒.csv,8,-0.11%,50.00%,8.89%,-8.77%,0.95,0.475
000597.SZ_东北制药.csv,6,-2.27%,66.67%,4.27%,-11.43%,0.19,0.126
000598.SZ_兴蓉环境.csv,4,3.13%,50.00%,15.33%,-3.28%,4.29,2.145
000599.SZ_青岛双星.csv,5,-5.52%,20.00%,7.17%,-19.75%,0.824,0.165
000600.SZ_建投能源.csv,5,0.66%,40.00%,13.46%,-6.38%,1.828,0.731
000601.SZ_韶能股份.csv,7,1.55%,42.86%,12.76%,-8.29%,2.41,1.033
000603.SZ_盛达资源.csv,6,5.08%,33.33%,48.91%,-11.53%,4.859,1.62
000605.SZ_渤海股份.csv,7,3.25%,57.14%,37.99%,-13.93%,1.234,0.705
000607.SZ_华媒控股.csv,6,5.77%,50.00%,18.00%,-2.91%,7.886,3.943
000610.SZ_西安旅游.csv,3,-2.93%,33.33%,1.56%,-6.55%,0.301,0.1
000612.SZ_焦作万方.csv,4,2.29%,50.00%,8.75%,-4.71%,2.194,1.097
000617.SZ_中油资本.csv,6,-3.33%,0.00%,-0.38%,-7.38%,0.0,0.0
000619.SZ_海螺新材.csv,1,8.19%,100.00%,8.19%,8.19%,0.082,0.082
000620.SZ_新华联.csv,7,5.88%,57.14%,15.89%,-5.12%,3.695,2.111
000623.SZ_吉林敖东.csv,6,-2.08%,33.33%,1.48%,-5.34%,0.272,0.091
000625.SZ_长安汽车.csv,4,3.10%,75.00%,9.79%,-1.62%,2.89,2.168
000626.SZ_远大控股.csv,8,7.62%,75.00%,28.42%,-4.17%,4.743,3.557
000627.SZ_天茂集团.csv,5,6.78%,60.00%,42.16%,-5.99%,2.753,1.652
000628.SZ_高新发展.csv,4,-2.00%,50.00%,4.82%,-11.39%,0.478,0.239
000629.SZ_钒钛股份.csv,4,3.05%,75.00%,5.69%,0.00%,0.031,0.023
000630.SZ_铜陵有色.csv,3,-9.34%,0.00%,-2.99%,-17.05%,0.0,0.0
000631.SZ_顺发恒业.csv,5,7.33%,60.00%,35.45%,-5.32%,3.344,2.006
000632.SZ_三木集团.csv,5,4.01%,60.00%,19.10%,-4.07%,2.652,1.591
000633.SZ_合金投资.csv,18,1.27%,55.56%,11.59%,-16.12%,1.242,0.69
000635.SZ_英力特.csv,1,-17.11%,0.00%,-17.11%,-17.11%,0.0,0.0
000636.SZ_风华高科.csv,3,-0.68%,33.33%,2.98%,-4.63%,1.189,0.396
000637.SZ_茂化实华.csv,8,2.27%,50.00%,14.66%,-3.59%,2.381,1.19
000639.SZ_西王食品.csv,15,1.95%,66.67%,8.62%,-4.09%,2.176,1.45
000650.SZ_仁和药业.csv,10,0.82%,70.00%,8.57%,-7.58%,0.642,0.45
000651.SZ_格力电器.csv,11,8.26%,72.73%,33.03%,-2.29%,8.403,6.111
000652.SZ_泰达股份.csv,3,12.03%,100.00%,33.04%,0.73%,0.12,0.12
000655.SZ_金岭矿业.csv,7,-4.77%,57.14%,10.36%,-30.44%,0.312,0.178
000657.SZ_中钨高新.csv,3,1.87%,100.00%,2.28%,1.17%,0.019,0.019
000659.SZ_珠海中富.csv,7,2.23%,57.14%,10.90%,-6.07%,1.606,0.918
000661.SZ_长春高新.csv,28,1.46%,53.57%,16.55%,-12.73%,1.609,0.862
000663.SZ_永安林业.csv,13,3.52%,69.23%,20.41%,-19.87%,0.99,0.686
000665.SZ_湖北广电.csv,3,1.41%,33.33%,10.69%,-4.36%,3.311,1.104
000669.SZ_ST金鸿.csv,13,2.12%,53.85%,20.17%,-16.64%,1.537,0.828
000670.SZ_盈方微.csv,4,-8.34%,25.00%,1.06%,-15.26%,0.092,0.023
000672.SZ_上峰水泥.csv,5,0.84%,60.00%,7.26%,-4.56%,1.095,0.657
000676.SZ_智度股份.csv,6,1.30%,66.67%,6.15%,-7.82%,0.895,0.597
000677.SZ_恒天海龙.csv,9,2.99%,66.67%,14.33%,-3.41%,2.375,1.583
000678.SZ_襄阳轴承.csv,3,1.56%,66.67%,8.67%,-6.08%,0.886,0.59
000679.SZ_大连友谊.csv,8,2.86%,62.50%,20.45%,-4.32%,1.972,1.232
000680.SZ_山推股份.csv,4,-1.13%,50.00%,4.05%,-9.28%,0.552,0.276
000681.SZ_视觉中国.csv,7,6.27%,100.00%,18.14%,1.07%,0.063,0.063
000682.SZ_东方电子.csv,1,2.92%,100.00%,2.92%,2.92%,0.029,0.029
000683.SZ_博源化工.csv,1,0.27%,100.00%,0.27%,0.27%,0.003,0.003
000685.SZ_中山公用.csv,3,-1.86%,33.33%,4.66%,-9.42%,0.91,0.303
000686.SZ_东北证券.csv,5,-1.47%,40.00%,1.78%,-4.93%,0.395,0.158
000688.SZ_国城矿业.csv,10,-1.78%,30.00%,9.96%,-9.02%,1.096,0.329
000690.SZ_宝新能源.csv,6,-0.90%,33.33%,3.68%,-6.60%,0.958,0.319
000692.SZ_惠天热电.csv,7,1.37%,57.14%,16.74%,-8.21%,1.164,0.665
000695.SZ_滨海能源.csv,7,2.19%,71.43%,15.74%,-6.07%,0.996,0.711
000697.SZ_ST炼石.csv,21,1.45%,61.90%,19.94%,-8.31%,0.921,0.57
000698.SZ_沈阳化工.csv,2,-0.35%,0.00%,0.00%,-0.69%,0.0,0.0
000700.SZ_模塑科技.csv,3,-1.49%,66.67%,1.91%,-6.67%,0.166,0.11
000701.SZ_厦门信达.csv,3,-3.81%,0.00%,-1.13%,-8.70%,0.0,0.0
000702.SZ_正虹科技.csv,5,3.44%,40.00%,19.70%,-1.48%,10.404,4.162
000703.SZ_恒逸石化.csv,5,2.27%,60.00%,12.82%,-3.22%,1.976,1.186
000705.SZ_浙江震元.csv,6,8.00%,100.00%,14.01%,0.83%,0.08,0.08
000707.SZ_双环科技.csv,11,1.05%,72.73%,8.19%,-9.76%,0.612,0.445
000708.SZ_中信特钢.csv,5,0.45%,60.00%,3.43%,-1.82%,1.246,0.748
000709.SZ_河钢股份.csv,6,-3.02%,16.67%,1.49%,-11.65%,0.379,0.063
000710.SZ_贝瑞基因.csv,6,8.05%,66.67%,25.42%,-6.23%,3.688,2.459
000712.SZ_锦龙股份.csv,4,-0.83%,50.00%,3.67%,-6.91%,0.552,0.276
000713.SZ_丰乐种业.csv,6,-0.32%,66.67%,3.45%,-11.04%,0.419,0.28
000715.SZ_中兴商业.csv,4,-0.64%,25.00%,4.24%,-5.14%,1.245,0.311
000716.SZ_黑芝麻.csv,14,5.04%,100.00%,14.26%,0.12%,0.05,0.05
000717.SZ_中南股份.csv,3,6.42%,100.00%,9.23%,2.36%,0.064,0.064
000718.SZ_苏宁环球.csv,6,-3.55%,0.00%,0.00%,-7.84%,0.0,0.0
000719.SZ_中原传媒.csv,3,-1.64%,33.33%,3.04%,-6.41%,0.763,0.254
000720.SZ_新能泰山.csv,16,-0.28%,43.75%,7.44%,-8.77%,0.986,0.431
000721.SZ_西安饮食.csv,3,5.10%,66.67%,10.84%,0.00%,0.051,0.034
000722.SZ_湖南发展.csv,3,4.74%,100.00%,11.71%,0.14%,0.047,0.047
000723.SZ_美锦能源.csv,5,1.39%,60.00%,9.11%,-3.94%,1.542,0.925
000725.SZ_京东方A.csv,4,-0.17%,50.00%,3.41%,-4.47%,0.423,0.211
000726.SZ_鲁泰A.csv,4,3.20%,25.00%,16.30%,-1.68%,13.903,3.476
000727.SZ_冠捷科技.csv,7,2.72%,42.86%,22.83%,-12.50%,2.698,1.156
000728.SZ_国元证券.csv,2,1.36%,50.00%,3.58%,-0.86%,4.164,2.082
000729.SZ_燕京啤酒.csv,3,0.71%,66.67%,4.09%,-4.03%,0.765,0.51
000731.SZ_四川美丰.csv,7,0.65%,71.43%,4.17%,-2.16%,0.899,0.642
000733.SZ_振华科技.csv,3,1.21%,66.67%,2.14%,-0.10%,18.991,12.661
000735.SZ_罗牛山.csv,3,-2.57%,33.33%,3.48%,-10.91%,0.622,0.207
000737.SZ_北方铜业.csv,4,6.75%,75.00%,13.41%,-1.48%,6.431,4.824
000738.SZ_航发控制.csv,3,4.23%,66.67%,7.88%,-0.26%,25.03,16.686
000739.SZ_普洛药业.csv,0,N/A,N/A,N/A,N/A,,
000750.SZ_国海证券.csv,7,5.26%,71.43%,17.86%,-3.77%,3.025,2.161
000751.SZ_锌业股份.csv,6,2.33%,83.33%,6.28%,-3.01%,1.128,0.94
000752.SZ_ST西发.csv,10,-3.88%,20.00%,14.45%,-19.96%,1.421,0.284
000753.SZ_漳州发展.csv,6,10.83%,83.33%,29.16%,-0.69%,18.988,15.823
000755.SZ_山西高速.csv,7,1.37%,42.86%,9.33%,-7.65%,2.117,0.907
000756.SZ_新华制药.csv,2,1.08%,50.00%,2.17%,0.00%,0.011,0.005
000757.SZ_浩物股份.csv,5,4.50%,40.00%,24.70%,-6.05%,3.917,1.567
000758.SZ_中色股份.csv,3,11.95%,33.33%,42.05%,-3.15%,13.574,4.525
000759.SZ_中百集团.csv,8,5.28%,87.50%,10.79%,-1.51%,4.148,3.629
000761.SZ_本钢板材.csv,6,3.64%,83.33%,11.82%,-4.01%,1.291,1.076
000762.SZ_西藏矿业.csv,2,19.43%,50.00%,42.41%,-3.54%,11.984,5.992
000766.SZ_通化金马.csv,5,-3.42%,20.00%,3.69%,-8.63%,0.711,0.142
000767.SZ_晋控电力.csv,6,-0.80%,50.00%,5.71%,-14.64%,0.739,0.37
000768.SZ_中航西飞.csv,3,1.03%,66.67%,2.55%,-1.32%,1.674,1.116
000776.SZ_广发证券.csv,8,5.47%,87.50%,12.40%,-4.50%,1.532,1.34
000777.SZ_中核科技.csv,8,10.25%,87.50%,51.91%,-3.11%,3.912,3.423
000778.SZ_新兴铸管.csv,5,-3.03%,0.00%,0.00%,-6.92%,0.0,0.0
000779.SZ_甘咨询.csv,5,7.01%,80.00%,14.24%,-0.61%,14.582,11.666
000782.SZ_恒申新材.csv,5,4.40%,100.00%,7.57%,1.69%,0.044,0.044
000783.SZ_长江证券.csv,3,7.01%,66.67%,14.60%,-5.83%,2.304,1.536
000785.SZ_居然智家.csv,5,-1.04%,20.00%,11.35%,-6.91%,2.057,0.411
000786.SZ_北新建材.csv,8,-0.16%,50.00%,10.94%,-9.55%,0.936,0.468
000788.SZ_北大医药.csv,10,1.08%,40.00%,11.37%,-6.58%,1.85,0.74
000789.SZ_万年青.csv,6,-0.70%,33.33%,7.85%,-8.51%,1.095,0.365
000790.SZ_华神科技.csv,5,6.32%,80.00%,15.20%,-2.02%,4.163,3.33
000791.SZ_甘肃能源.csv,2,1.11%,50.00%,7.26%,-5.05%,1.438,0.719
000792.SZ_盐湖股份.csv,6,0.78%,66.67%,3.78%,-2.34%,1.067,0.711
000793.SZ_ST华闻.csv,13,4.36%,53.85%,44.29%,-20.03%,1.737,0.935
000795.SZ_英洛华.csv,5,7.34%,60.00%,25.56%,-6.66%,3.678,2.207
000796.SZ_凯撒旅业.csv,12,-1.48%,33.33%,19.87%,-23.33%,1.266,0.422
000797.SZ_中国武夷.csv,3,8.66%,66.67%,27.52%,-6.53%,2.49,1.66
000798.SZ_中水渔业.csv,1,-6.94%,0.00%,-6.94%,-6.94%,0.0,0.0
000799.SZ_酒鬼酒.csv,10,4.42%,100.00%,9.46%,0.75%,0.044,0.044
000800.SZ_一汽解放.csv,11,1.37%,72.73%,5.04%,-6.01%,0.849,0.618
000801.SZ_四川九洲.csv,3,2.47%,66.67%,5.33%,-2.35%,2.074,1.382
000802.SZ_北京文化.csv,8,-5.12%,25.00%,9.04%,-14.91%,0.662,0.165
000803.SZ_山高环能.csv,13,-1.29%,53.85%,33.05%,-31.45%,0.697,0.375
000807.SZ_云铝股份.csv,4,-0.60%,25.00%,11.36%,-5.68%,2.48,0.62
000809.SZ_和展能源.csv,17,-1.14%,41.18%,16.20%,-11.40%,0.933,0.384
000810.SZ_创维数字.csv,5,-0.01%,20.00%,37.13%,-24.45%,3.996,0.799
000811.SZ_冰轮环境.csv,16,4.36%,75.00%,14.97%,-6.24%,2.332,1.749
000812.SZ_陕西金叶.csv,5,-4.19%,20.00%,0.89%,-11.81%,0.163,0.033
000813.SZ_德展健康.csv,8,3.45%,62.50%,13.38%,-1.76%,5.073,3.17
000815.SZ_美利云.csv,9,7.24%,55.56%,24.03%,-2.87%,7.498,4.166
000816.SZ_智慧农业.csv,6,2.09%,50.00%,47.39%,-23.29%,1.356,0.678
000818.SZ_航锦科技.csv,7,-0.57%,42.86%,20.67%,-16.86%,1.14,0.488
000819.SZ_岳阳兴长.csv,6,3.95%,33.33%,14.89%,-1.74%,17.017,5.672
000821.SZ_京山轻机.csv,4,2.45%,50.00%,8.17%,-3.03%,3.744,1.872
000822.SZ_山东海化.csv,3,3.64%,66.67%,9.19%,-1.67%,3.765,2.51
000823.SZ_超声电子.csv,7,7.39%,71.43%,36.29%,-9.15%,2.25,1.607
000825.SZ_太钢不锈.csv,6,-3.15%,33.33%,2.06%,-11.19%,0.318,0.106
000826.SZ_启迪环境.csv,14,-4.06%,14.29%,2.53%,-15.27%,0.291,0.042
000828.SZ_东莞控股.csv,2,-0.24%,0.00%,-0.24%,-0.25%,0.0,0.0
000829.SZ_天音控股.csv,4,15.23%,75.00%,50.17%,-14.42%,1.742,1.306
000830.SZ_鲁西化工.csv,5,4.28%,40.00%,44.33%,-14.10%,2.813,1.125
000831.SZ_中国稀土.csv,4,-0.98%,50.00%,6.38%,-9.85%,0.733,0.366
000833.SZ_粤桂股份.csv,3,-1.17%,33.33%,7.09%,-8.90%,1.339,0.446
000837.SZ_秦川机床.csv,1,-1.35%,0.00%,-1.35%,-1.35%,0.0,0.0
000838.SZ_财信发展.csv,7,-1.44%,14.29%,19.09%,-10.02%,3.924,0.561
000839.SZ_中信国安.csv,11,1.51%,54.55%,11.93%,-8.74%,1.31,0.715
000848.SZ_承德露露.csv,7,2.01%,71.43%,6.07%,-3.50%,1.363,0.974
